frequency(Hz) ASD(Hz^-0.5)
1.250000000000000000e-01 2.761197613870110165e-19
2.500000000000000000e-01 2.956271044521354978e-19
3.750000000000000000e-01 2.560376323110415850e-19
5.000000000000000000e-01 1.783549310354428516e-19
6.250000000000000000e-01 9.562367942116004576e-20
7.500000000000000000e-01 4.644821834233333323e-20
8.750000000000000000e-01 3.142798979009096175e-20
1.000000000000000000e+00 2.704235276409912513e-20
1.125000000000000000e+00 2.523894245178198903e-20
1.250000000000000000e+00 2.019401244670166843e-20
1.375000000000000000e+00 1.309164074027918091e-20
1.500000000000000000e+00 7.421423767345810893e-21
1.625000000000000000e+00 4.982647386621607362e-21
1.750000000000000000e+00 3.805245243789622869e-21
1.875000000000000000e+00 2.688118630909977199e-21
2.000000000000000000e+00 2.600853989212550343e-21
2.125000000000000000e+00 3.495176105214966373e-21
2.250000000000000000e+00 3.904177809857071861e-21
2.375000000000000000e+00 3.448893944601910373e-21
2.500000000000000000e+00 3.054429512046731527e-21
2.625000000000000000e+00 3.639680406716039017e-21
2.750000000000000000e+00 4.284106882840620210e-21
2.875000000000000000e+00 4.258537544319307153e-21
3.000000000000000000e+00 4.161888980543279393e-21
3.125000000000000000e+00 4.652741871366724452e-21
3.250000000000000000e+00 4.781553368668902331e-21
3.375000000000000000e+00 4.065627779396792062e-21
3.500000000000000000e+00 3.339397575115125255e-21
3.625000000000000000e+00 3.302471485534164296e-21
3.750000000000000000e+00 3.122762658528669886e-21
3.875000000000000000e+00 2.327359529061212004e-21
4.000000000000000000e+00 1.465320901833427090e-21
4.125000000000000000e+00 1.461522058647231649e-21
4.250000000000000000e+00 2.698777892710657508e-21
4.375000000000000000e+00 6.761632865743201592e-21
4.500000000000000000e+00 1.635973162911268579e-20
4.625000000000000000e+00 3.388965804013751717e-20
4.750000000000000000e+00 6.131505406091166235e-20
4.875000000000000000e+00 9.626607865578849988e-20
5.000000000000000000e+00 1.341206151040477238e-19
5.125000000000000000e+00 1.711954717630250007e-19
5.250000000000000000e+00 2.057951304912062249e-19
5.375000000000000000e+00 2.381776495627492515e-19
5.500000000000000000e+00 2.679220102259992752e-19
5.625000000000000000e+00 2.966995623491782115e-19
5.750000000000000000e+00 3.335774874140366020e-19
5.875000000000000000e+00 4.389268841836307379e-19
6.000000000000000000e+00 5.883163734334455785e-19
6.125000000000000000e+00 6.842812728943587435e-19
6.250000000000000000e+00 6.348973692704898780e-19
6.375000000000000000e+00 5.111508122318772906e-19
6.500000000000000000e+00 4.020286145512508733e-19
6.625000000000000000e+00 3.381269725889110755e-19
6.750000000000000000e+00 2.926124765721384844e-19
6.875000000000000000e+00 2.548434103349398100e-19
7.000000000000000000e+00 2.262316199799772367e-19
7.125000000000000000e+00 2.076957101525109094e-19
7.250000000000000000e+00 1.861483555587975478e-19
7.375000000000000000e+00 1.634211288955255580e-19
7.500000000000000000e+00 1.438437598890596806e-19
7.625000000000000000e+00 1.254619857485592966e-19
7.750000000000000000e+00 1.094804813418053300e-19
7.875000000000000000e+00 9.798627187816979726e-20
8.000000000000000000e+00 8.960227264209631242e-20
8.125000000000000000e+00 8.059518929028238278e-20
8.250000000000000000e+00 7.585945562536551088e-20
8.375000000000000000e+00 7.923608365642929468e-20
8.500000000000000000e+00 8.540851703924733792e-20
8.625000000000000000e+00 8.935810949851107333e-20
8.750000000000000000e+00 8.716799432851488329e-20
8.875000000000000000e+00 7.711576988168029080e-20
9.000000000000000000e+00 6.211161289267551512e-20
9.125000000000000000e+00 4.773038598364986619e-20
9.250000000000000000e+00 3.470606687969991575e-20
9.375000000000000000e+00 4.239269253639823222e-20
9.500000000000000000e+00 6.479491169121185213e-20
9.625000000000000000e+00 7.332747092694226934e-20
9.750000000000000000e+00 5.727899072102434541e-20
9.875000000000000000e+00 3.074418270810227029e-20
1.000000000000000000e+01 1.707121477397849761e-20
1.012500000000000000e+01 2.471002536910187546e-20
1.025000000000000000e+01 4.383152205634971343e-20
1.037500000000000000e+01 6.584836792318875801e-20
1.050000000000000000e+01 8.051886122812812091e-20
1.062500000000000000e+01 7.991422137753134154e-20
1.075000000000000000e+01 6.700833616801817458e-20
1.087500000000000000e+01 4.972485935835448050e-20
1.100000000000000000e+01 3.867653069181643978e-20
1.112500000000000000e+01 3.304614080904629122e-20
1.125000000000000000e+01 2.938611544037907473e-20
1.137500000000000000e+01 2.707248404451352046e-20
1.150000000000000000e+01 2.535787174394439079e-20
1.162500000000000000e+01 2.404268399300036989e-20
1.175000000000000000e+01 2.261359263884543764e-20
1.187500000000000000e+01 2.112867092177367722e-20
1.200000000000000000e+01 1.996963997064252067e-20
1.212500000000000000e+01 1.919174984933636078e-20
1.225000000000000000e+01 1.876983975114173159e-20
1.237500000000000000e+01 1.866311948166077053e-20
1.250000000000000000e+01 1.885683128107944026e-20
1.262500000000000000e+01 1.980309014107272712e-20
1.275000000000000000e+01 2.326447433305221714e-20
1.287500000000000000e+01 2.788943131561089238e-20
1.300000000000000000e+01 3.063197169593646965e-20
1.312500000000000000e+01 2.771018954151850856e-20
1.325000000000000000e+01 1.920779317452451508e-20
1.337500000000000000e+01 1.117476567962115261e-20
1.350000000000000000e+01 9.228104147640128944e-21
1.362500000000000000e+01 9.459353101628759785e-21
1.375000000000000000e+01 7.538812212147816396e-21
1.387500000000000000e+01 6.210365828072251281e-21
1.400000000000000000e+01 1.073884018266759562e-20
1.412500000000000000e+01 1.959730340879223920e-20
1.425000000000000000e+01 3.217328278261664483e-20
1.437500000000000000e+01 4.207760830806098193e-20
1.450000000000000000e+01 4.004206976372603998e-20
1.462500000000000000e+01 2.706628840187436514e-20
1.475000000000000000e+01 1.561120191957799671e-20
