time(s)  strain
-8.468505859 0.0
-8.468261718 3.211971e-28
-8.468017578 1.2895505e-27
-8.467773437 2.909717e-27
-8.467529297 5.183063e-27
-8.467285156 8.107572e-27
-8.467041015 1.1677977e-26
-8.466796875 1.5885556e-26
-8.466552734 2.0718419e-26
-8.466308593 2.616118e-26
-8.466064453 3.219541e-26
-8.465820312 3.879917e-26
-8.465576172 4.594761e-26
-8.465332031 5.361244e-26
-8.46508789 6.176261e-26
-8.46484375 7.036372e-26
-8.464599609 7.937873e-26
-8.464355468 8.876752e-26
-8.464111328 9.848737e-26
-8.463867187 1.0849277e-25
-8.463623047 1.1873572e-25
-8.463378906 1.2916583e-25
-8.463134765 1.3973019e-25
-8.462890625 1.5037397e-25
-8.462646484 1.6103988e-25
-8.462402343 1.7166934e-25
-8.462158203 1.8220107e-25
-8.461914062 1.9257344e-25
-8.461669922 2.0272145e-25
-8.461425781 2.1258131e-25
-8.46118164 2.2208504e-25
-8.4609375 2.3116705e-25
-8.460693359 2.3975738e-25
-8.460449218 2.477892563e-25
-8.460205078 2.55190905e-25
-8.459960937 2.6189559e-25
-8.459716797 2.6783062e-25
-8.459472656 2.7292977e-25
-8.459228515 2.7711988e-25
-8.458984375 2.8033639e-25
-8.458740234 2.825062e-25
-8.458496093 2.8356744e-25
-8.458251953 2.834477e-25
-8.458007812 2.820881e-25
-8.457763672 2.794181e-25
-8.457519531 2.753827e-25
-8.45727539 2.699138e-25
-8.45703125 2.629611e-25
-8.456787109 2.54459e-25
-8.456542968 2.443633e-25
-8.456298828 2.326117e-25
-8.456054687 2.191665e-25
-8.455810547 2.039695e-25
-8.455566406 1.869898e-25
-8.455322265 1.681738e-25
-8.455078125 1.474989e-25
-8.454833984 1.249164e-25
-8.454589843 1.00412e-25
-8.454345703 7.39429e-26
-8.454101562 4.55036e-26
-8.453857422 1.50573e-26
-8.453613281 -1.73915e-26
-8.45336914 -5.18735e-26
-8.453125 -8.83743e-26
-8.452880859 -1.269174e-25
-8.452636718 -1.674783e-25
-8.452392578 -2.100734e-25
-8.452148437 -2.546675e-25
-8.451904297 -3.012697e-25
-8.451660156 -3.498336e-25
-8.451416015 -4.003611e-25
-8.451171875 -4.527948e-25
-8.450927734 -5.071288e-25
-8.450683593 -5.632946e-25
-8.450439453 -6.212792e-25
-8.450195312 -6.81002e-25
-8.449951172 -7.424439e-25
-8.449707031 -8.055121e-25
-8.44946289 -8.701791e-25
-8.44921875 -9.363441e-25
-8.448974609 -1.0039698e-24
-8.448730468 -1.0729469e-24
-8.448486328 -1.143229e-24
-8.448242187 -1.2146984e-24
-8.447998047 -1.287301e-24
-8.447753906 -1.3609097e-24
-8.447509765 -1.43546462e-24
-8.447265625 -1.51082694e-24
-8.447021484 -1.58693475e-24
-8.446777343 -1.66363873e-24
-8.446533203 -1.74086963e-24
-8.446289062 -1.8184737e-24
-8.446044922 -1.8963744e-24
-8.445800781 -1.9744125e-24
-8.44555664 -2.052507e-24
-8.4453125 -2.1304917e-24
-8.445068359 -2.2082808e-24
-8.444824218 -2.2857046e-24
-8.444580078 -2.3626746e-24
-8.444335937 -2.4390157e-24
-8.444091797 -2.5146369e-24
-8.443847656 -2.589361e-24
-8.443603515 -2.6630936e-24
-8.443359375 -2.7356582e-24
-8.443115234 -2.8069569e-24
-8.442871093 -2.8768122e-24
-8.442626953 -2.945127e-24
-8.442382812 -3.011724e-24
-8.442138672 -3.076507e-24
-8.441894531 -3.139301e-24
-8.44165039 -3.200008e-24
-8.44140625 -3.258457e-24
-8.441162109 -3.314553e-24
-8.440917968 -3.368129e-24
-8.440673828 -3.419091e-24
-8.440429687 -3.467281e-24
-8.440185547 -3.512603e-24
-8.439941406 -3.554908e-24
-8.439697265 -3.594107e-24
